,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9단위* 5분,,,,,,,,,,,,,,,,,,,,,,,10단위,,,,,,,,,,,,,,,,,,,,,,,이격수,,,,,,,,,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,
,13,14,22,26,37,38,,1,2,2,2,1,2,,2,4,,3,3,,3,3,,2,4,0,,,,,,,,,2,2,2,,0,2,2,0,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,2,2,2,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,8,4,11,1,,1,8,4,11,1,,1,2,2,1,1,,3,2,,4,1,,1,4,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,10,12,29,31,40,44,,2,2,1,1,2,2,,2,4,,2,4,,3,3,,2,3,1,,,,,,,,,2,2,2,,0,2,0,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,2,1,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2,17,2,9,4,,2,17,2,9,4,,2,1,2,1,2,,2,3,,3,2,,3,1,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,1,7,21,30,35,38,,1,1,1,2,1,2,,4,2,,3,3,,3,3,,1,3,2,,,,,,,,,2,2,2,,2,0,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,0,1,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,6,14,9,5,3,,6,14,9,5,3,,2,2,1,1,1,,3,2,,3,2,,2,1,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,6,16,34,37,39,40,,2,2,2,1,1,2,,2,4,,2,4,,1,5,,1,3,2,,,,,,,,,1,1,4,,1,1,0,1,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,0,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,10,18,3,2,1,,10,18,3,2,1,,2,2,1,2,1,,2,3,,3,2,,2,2,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,1,3,4,29,42,45,,1,1,2,1,2,1,,4,2,,3,3,,5,1,,2,2,2,,,,,,,,,3,1,2,,3,0,0,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,3,0,1,0,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2,1,25,13,3,,2,1,25,13,3,,2,1,1,1,1,,4,1,,5,0,,3,2,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,6,14,30,31,40,41,,2,2,2,1,2,1,,2,4,,2,4,,3,3,,2,2,2,,,,,,,,,2,2,2,,1,1,0,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,0,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,8,16,1,9,1,,8,16,1,9,1,,2,2,1,1,1,,3,2,,2,3,,0,4,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,7,19,26,37,39,44,,1,1,2,1,1,2,,4,2,,2,4,,1,5,,3,2,1,,,,,,,,,1,2,3,,1,0,2,0,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,12,7,11,2,5,,12,7,11,2,5,,2,1,1,2,1,,3,2,,4,1,,4,0,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,10,12,13,19,33,40,,2,2,1,1,1,2,,3,3,,4,2,,3,3,,2,2,2,,,,,,,,,3,1,2,,0,3,1,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,4,0,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2,1,6,14,7,,2,1,6,14,7,,2,1,2,2,1,,2,3,,3,2,,2,2,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,3,7,11,20,22,41,,1,1,1,2,2,1,,4,2,,5,1,,4,2,,4,2,0,,,,,,,,,3,2,1,,2,1,2,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,1,2,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,4,4,9,2,19,,4,4,9,2,19,,2,2,1,2,1,,2,3,,3,2,,2,2,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,3,13,30,33,43,45,,1,1,2,1,1,1,,5,1,,2,4,,5,1,,3,0,3,,,,,,,,,2,1,3,,1,1,0,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,0,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,10,17,3,10,2,,10,17,3,10,2,,2,1,1,2,2,,2,3,,2,3,,3,2,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
